# z: width, drag, offset
0	0	0	0
0.001	1.8	1.5	0
0.002	2.2	2	1
0.003	3	3	1.3
0.004	3.5	4.5	2.5
0.004	3.5	4.5	2
0.005	4.9	5.5	2.5
0.005	5.5	4.5	2.5
0.005	5.5	4.5	2
0.006	5.8	6	3.5
0.006	7.5	5.5	3.5
0.006	7.5	5	5
0.007	9.1	5.5	3.5
0.007	5.8	5	2.5
0.007	7.7	5.5	3.5
0.008	10.2	6	3
0.008	10.2	6	4
0.008	10.4	6	3.5
#0.009	8.9	6.5	9
0.009	11.2	6.5	3
0.009	12.1	6	3.5
0.01	11.1	8.3	3
0.01	8.8	7.5	4
0.01	12.8	7.5	4
0.011	10.8	8	2.5
0.011	13.2	8	3
#0.012	17	8.5	11.5
0.012	11.8	9	6
0.012	15.5	11	4
0.013	15	9	2
0.013	17	9.5	3.5
0.015	17.2	11	4
#0.017	22.5	14.5	4.5
